3D Contour Integration Errors
Generated on: 2025-03-21 23:11:22
        Beta       N_poles         Error
6.400000e+01  3.400000e+01  3.164303e-09
6.400000e+01  3.500000e+01  2.510196e-09
6.400000e+01  3.600000e+01  2.307953e-09
6.400000e+01  3.700000e+01  2.292490e-09
6.400000e+01  3.800000e+01  2.325361e-09
6.400000e+01  3.900000e+01  2.244167e-09
6.400000e+01  4.000000e+01  2.268309e-09
6.400000e+01  4.100000e+01  2.243901e-09
6.400000e+01  4.200000e+01  2.246647e-09
6.400000e+01  4.300000e+01  2.191304e-09
6.400000e+01  4.400000e+01  2.282529e-09
6.400000e+01  4.500000e+01  2.153001e-09
6.400000e+01  4.600000e+01  2.255971e-09
6.400000e+01  4.700000e+01  2.194538e-09
6.400000e+01  4.800000e+01  2.233700e-09
6.400000e+01  4.900000e+01  2.266296e-09
6.400000e+01  5.000000e+01  2.235646e-09
6.400000e+01  5.100000e+01  2.276681e-09
6.400000e+01  5.200000e+01  2.253437e-09
6.400000e+01  5.300000e+01  2.319372e-09
6.400000e+01  5.400000e+01  2.195843e-09
6.400000e+01  5.500000e+01  2.262872e-09
6.400000e+01  5.600000e+01  2.153977e-09
6.400000e+01  5.700000e+01  2.222122e-09
6.400000e+01  5.800000e+01  2.155192e-09
6.400000e+01  5.900000e+01  2.233054e-09
6.400000e+01  6.000000e+01  2.237041e-09
1.280000e+02  1.000000e+00  1.576038e+00
1.280000e+02  2.000000e+00  1.051218e+00
1.280000e+02  3.000000e+00  6.023597e-01
1.280000e+02  4.000000e+00  3.610284e-01
1.280000e+02  5.000000e+00  2.212741e-01
1.280000e+02  6.000000e+00  1.218851e-01
1.280000e+02  7.000000e+00  6.901029e-02
1.280000e+02  8.000000e+00  3.737703e-02
1.280000e+02  9.000000e+00  2.133193e-02
1.280000e+02  1.000000e+01  1.213564e-02
1.280000e+02  1.100000e+01  6.492423e-03
1.280000e+02  1.200000e+01  3.866681e-03
1.280000e+02  1.300000e+01  2.025943e-03
1.280000e+02  1.400000e+01  1.191448e-03
1.280000e+02  1.500000e+01  6.280612e-04
1.280000e+02  1.600000e+01  3.483432e-04
1.280000e+02  1.700000e+01  1.921704e-04
1.280000e+02  1.800000e+01  1.087372e-04
1.280000e+02  1.900000e+01  6.240374e-05
1.280000e+02  2.000000e+01  3.486800e-05
1.280000e+02  2.100000e+01  1.859301e-05
1.280000e+02  2.200000e+01  1.062743e-05
1.280000e+02  2.300000e+01  5.549507e-06
1.280000e+02  2.400000e+01  3.375809e-06
1.280000e+02  2.500000e+01  1.715760e-06
1.280000e+02  2.600000e+01  1.090582e-06
1.280000e+02  2.700000e+01  5.308149e-07
1.280000e+02  2.800000e+01  3.221170e-07
1.280000e+02  2.900000e+01  1.678406e-07
1.280000e+02  3.000000e+01  9.551306e-08
1.280000e+02  3.100000e+01  5.405633e-08
1.280000e+02  3.200000e+01  2.947829e-08
1.280000e+02  3.300000e+01  1.721571e-08
1.280000e+02  3.400000e+01  9.081053e-09
1.280000e+02  3.500000e+01  5.036078e-09
1.280000e+02  3.600000e+01  2.870198e-09
1.280000e+02  3.700000e+01  1.471948e-09
1.280000e+02  3.800000e+01  9.337489e-10
1.280000e+02  3.900000e+01  4.108300e-10
1.280000e+02  4.000000e+01  2.960371e-10
1.280000e+02  4.100000e+01  1.617940e-10
1.280000e+02  4.200000e+01  1.045442e-10
1.280000e+02  4.300000e+01  1.569291e-10
1.280000e+02  4.400000e+01  5.013774e-11
1.280000e+02  4.500000e+01  1.622458e-10
1.280000e+02  4.600000e+01  4.242473e-11
1.280000e+02  4.700000e+01  1.615859e-10
1.280000e+02  4.800000e+01  5.255064e-11
1.280000e+02  4.900000e+01  1.624112e-10
1.280000e+02  5.000000e+01  4.609636e-11
1.280000e+02  5.100000e+01  1.585674e-10
1.280000e+02  5.200000e+01  4.086430e-11
1.280000e+02  5.300000e+01  1.487039e-10
1.280000e+02  5.400000e+01  2.973154e-11
1.280000e+02  5.500000e+01  1.454512e-10
1.280000e+02  5.600000e+01  2.026034e-11
1.280000e+02  5.700000e+01  1.432987e-10
1.280000e+02  5.800000e+01  6.594866e-11
1.280000e+02  5.900000e+01  1.321889e-10
1.280000e+02  6.000000e+01  3.923546e-11
2.560000e+02  1.000000e+00  1.379950e+00
2.560000e+02  2.000000e+00  1.108983e+00
2.560000e+02  3.000000e+00  6.793545e-01
2.560000e+02  4.000000e+00  4.227641e-01
2.560000e+02  5.000000e+00  2.645224e-01
2.560000e+02  6.000000e+00  1.517075e-01
2.560000e+02  7.000000e+00  9.049531e-02
2.560000e+02  8.000000e+00  5.327520e-02
2.560000e+02  9.000000e+00  3.050735e-02
2.560000e+02  1.000000e+01  1.815160e-02
2.560000e+02  1.100000e+01  1.081186e-02
2.560000e+02  1.200000e+01  6.177090e-03
2.560000e+02  1.300000e+01  3.806011e-03
2.560000e+02  1.400000e+01  2.094738e-03
2.560000e+02  1.500000e+01  1.264137e-03
2.560000e+02  1.600000e+01  6.926003e-04
2.560000e+02  1.700000e+01  4.114909e-04
2.560000e+02  1.800000e+01  2.397349e-04
2.560000e+02  1.900000e+01  1.430696e-04
2.560000e+02  2.000000e+01  8.068880e-05
2.560000e+02  2.100000e+01  4.777722e-05
2.560000e+02  2.200000e+01  2.722408e-05
2.560000e+02  2.300000e+01  1.606445e-05
2.560000e+02  2.400000e+01  9.483849e-06
2.560000e+02  2.500000e+01  5.260764e-06
2.560000e+02  2.600000e+01  3.289675e-06
2.560000e+02  2.700000e+01  1.757134e-06
2.560000e+02  2.800000e+01  1.147670e-06
2.560000e+02  2.900000e+01  6.091980e-07
2.560000e+02  3.000000e+01  3.673824e-07
2.560000e+02  3.100000e+01  2.143239e-07
2.560000e+02  3.200000e+01  1.230922e-07
2.560000e+02  3.300000e+01  7.541111e-08
2.560000e+02  3.400000e+01  4.057423e-08
2.560000e+02  3.500000e+01  2.392250e-08
2.560000e+02  3.600000e+01  1.441355e-08
2.560000e+02  3.700000e+01  8.040190e-09
2.560000e+02  3.800000e+01  4.722788e-09
2.560000e+02  3.900000e+01  2.792480e-09
2.560000e+02  4.000000e+01  1.557411e-09
2.560000e+02  4.100000e+01  1.018024e-09
2.560000e+02  4.200000e+01  7.033058e-10
2.560000e+02  4.300000e+01  5.657903e-10
2.560000e+02  4.400000e+01  5.011784e-10
2.560000e+02  4.500000e+01  4.909412e-10
2.560000e+02  4.600000e+01  4.790133e-10
2.560000e+02  4.700000e+01  4.401048e-10
2.560000e+02  4.800000e+01  4.730021e-10
2.560000e+02  4.900000e+01  4.800744e-10
2.560000e+02  5.000000e+01  4.701140e-10
2.560000e+02  5.100000e+01  5.947524e-10
2.560000e+02  5.200000e+01  4.655901e-10
2.560000e+02  5.300000e+01  5.529240e-10
2.560000e+02  5.400000e+01  4.487349e-10
2.560000e+02  5.500000e+01  5.050482e-10
2.560000e+02  5.600000e+01  4.852533e-10
2.560000e+02  5.700000e+01  4.675679e-10
2.560000e+02  5.800000e+01  4.695433e-10
2.560000e+02  5.900000e+01  4.727019e-10
2.560000e+02  6.000000e+01  4.631505e-10
